ID,Fwy,Dir,District,County,City,State_PM,Abs_PM,Latitude,Longitude,Length,Type,Lanes,Name,User_ID_1,User_ID_2,User_ID_3,User_ID_4
402261,80,E,4,95,,38.2,65.667,38.47285,-121.823777,0.75,ML,3,4A5344 loc 66,DS953,N3-E-23-080-03820,991100,425564.0
402260,80,W,4,95,,38.24,65.707,38.473363,-121.823474,0.75,ML,3,4A5344 loc 66,DS953,N3-W-23-080-03824,991099,429111.0
402262,80,W,4,95,,39,66.467,38.481149,-121.813543,0.77,ML,3,4A5344 loc 67,DS954,N3-W-23-080-03900,991101,429116.0
402263,80,E,4,95,,39,66.467,38.481035999999996,-121.813375,0.7,ML,3,4A5344 loc 67,DS954,N3-E-23-080-03900,991102,425569.0
402264,80,E,4,95,,39.6,67.067,38.487178,-121.805573,0.5,ML,3,4A5344 LOC 68,DS955,N3-E-23-080-03960,991103,425574.0
402265,80,W,4,95,,39.78,67.247,38.489167,-121.80338400000001,0.75,ML,3,4A5344 LOC 69,DS956,N3-W-23-080-03978,991104,429121.0
402266,80,E,4,95,,40,67.467,38.491377,-121.800506,0.45,ML,3,4A5344 LOC 70,DS957,N3-E-23-080-04000,991105,425579.0
402268,80,E,4,95,,40.5,67.967,38.49691,-121.79457,0.7,ML,3,4A5344 loc 72,DS958,N3-E-23-080-04050,991107,425584.0
402267,80,W,4,95,,40.5,67.967,38.49707,-121.79472,0.84,ML,3,4A5344 loc 72,DS958,N3-W-23-080-04050,991106,429126.0
402270,80,E,4,95,,41.4,68.867,38.506840999999994,-121.78383899999999,0.7,ML,4,4A5344 loc 73,DS959,N4-E-23-080-04140,991109,428132.0
402269,80,W,4,95,,41.46,68.92699999999999,38.507719,-121.78334,0.75,ML,4,4A5344 loc 73,DS959,N4-W-23-080-04146,991108,427950.0
402272,80,E,4,95,,41.9,69.367,38.512372,-121.777898,2.75,ML,5,4A5344 loc 76,DS960,N5-E-23-080-04190,991111,424919.0
402271,80,W,4,95,,42,69.467,38.513711,-121.776971,2.77,ML,5,4A5344 loc 76,DS960,N5-W-23-080-04200,991110,425094.0
318106,80,W,3,113,,.145,72.332,38.539167,-121.73684899999999,,FR,1,EB Richard Blvd,,,,
318104,80,W,3,113,,.145,72.332,38.539167,-121.73684899999999,,OR,1,EB Richard Blvd,,,,
318105,80,W,3,113,,.263,72.45,38.540415,-121.735368,,FR,1,WB Richard Blvd,,,,
318103,80,W,3,113,,.263,72.45,38.540415,-121.735368,,OR,1,WB Richard Blvd,,,,
318102,80,W,3,113,,.274,72.461,38.54053,-121.735229,0.7490000000000001,ML,3,Richard Blvd,,,,
